"","vars","sp"
"1","Nightly_Mean_Temp","ANPA"
"2","Water_Nearby,Nightly_Min_Temp, dd","COTO"
"3","Nightly_Mean_Windsp,moon*Distance_to_Clutter__m_,Nightly_Min_Temp","EPFU"
"4","Nightly_Min_Temp","EUMA"
"5","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,Nightly_Mean_Temp","LABO"
"6","moon*Distance_to_Clutter__m_,dd,Nightly_Mean_Temp,I(YearS^2)","LACI"
"7","Nightly_Mean_RH,Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,Nightly_Min_Temp","LANO"
"8","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,Nightly_Mean_Temp","MYCA"
"9","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,Nightly_Mean_Temp","MYCI"
"10","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,dd,Nightly_Min_Temp","MYEV"
"11","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,Nightly_Mean_Temp","MYLU"
"12","Nightly_Mean_RH,moon*Distance_to_Clutter__m_,Water_Nearby","MYSE"
"13","dd","MYTH"
"14","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,Nightly_Mean_Temp","MYVO"
"15","Nightly_Mean_Windsp*Distance_to_Clutter__m_,Water_Nearby,dd","MYYU"
