"SpeciesGroup","Estimate","SE","z value","p.value","intercept.Estimate","intercept.Std. Error","intercept.z value","intercept.Pr(>|z|)","n"
"ANPA", 0.109301619,0.03878481, 2.81815547,4.830042e-03,-2.597444e+00, 8.218373e-01,-3.160533e+00, 1.574806e-03, 197
"COTO", 0.107597131,0.02525992, 4.25959905,2.047939e-05,-3.515498e+00, 5.118827e-01,-6.867779e+00, 6.520891e-12, 887
"EPFU", 0.074945551,0.02522944, 2.97055909,2.972582e-03,-1.837872e+00, 6.156343e-01,-2.985330e+00, 2.832721e-03, 875
"EUMA", 0.123082823,0.07780085, 1.58202410,1.136441e-01,-1.292939e+00, 1.274539e+00,-1.014437e+00, 3.103743e-01, 262
"LABO",-0.030605416,0.02573668,-1.18917480,2.343709e-01,-1.490230e+00, 7.315912e-01,-2.036971e+00, 4.165298e-02, 362
"LACI", 0.076846906,0.09978395, 0.77013292,4.412211e-01,-1.918084e+00, 4.860790e-01,-3.946033e+00, 7.945670e-05,1055
"LANO", 0.040563251,0.02173441, 1.86631519,6.199728e-02, 1.100490e+00, 7.324520e-01, 1.502474e+00, 1.329749e-01, 899
"MYCA", 0.009291461,0.01939146, 0.47915224,6.318303e-01, 1.861909e-01, 5.203920e-01, 3.577897e-01, 7.205007e-01, 856
"MYCI",-0.005083386,0.02603549,-0.19524833,8.451985e-01,-7.387624e-01, 8.437556e-01,-8.755644e-01, 3.812669e-01, 321
"MYEV", 0.086383078,0.02180651, 3.96134314,7.452934e-05,-1.577970e+00, 4.695908e-01,-3.360309e+00, 7.785548e-04, 920
"MYLU", 0.012217737,0.02011874, 0.60728133,5.436642e-01, 8.840836e-01, 5.037044e-01, 1.755164e+00, 7.923131e-02, 920
"MYSE",-0.044829109,0.03833150,-1.16951098,2.421978e-01, 5.095800e-01, 8.864987e-01, 5.748232e-01, 5.654108e-01, 388
"MYTH",-0.001748929,0.02699224,-0.06479378,9.483382e-01,-3.080581e+00, 5.313970e-01,-5.797137e+00, 6.745666e-09, 642
"MYVO",-0.001604799,0.01964335,-0.08169682,9.348878e-01,-1.304079e-01, 4.846171e-01,-2.690947e-01, 7.878568e-01, 875
"MYYU", 0.079321616,0.02489852, 3.18579684,1.443559e-03,-1.423114e+00, 5.833081e-01,-2.439729e+00, 1.469828e-02, 958
