"Species","Convergence","N_GRTS_cells","N_observations","RE_variance_GRTS","YearS_estimate","YearS_SE","YearS_CI_lo","YearS_CI_hi","YearS_p","SE_ratio","Dispersion_stat","Dispersion_p","Dispersion_direction","Dispersion_flag","KS_stat","KS_p","KS_flag","ZeroInflation_stat","ZeroInflation_p","ZeroInflation_flag","Overall_flag"
"ANPA","Converged cleanly",10,197,0.4455,0.1093,0.0388,0.0333,0.1853,0.0048,0.35,0.8564,0.908,"under","OK",0.0415,0.8872,"OK",1.041,0.848,"OK","Report with Caveats"
"COTO","Converged cleanly",49,887,1.3482,0.1076,0.0253,0.0581,0.1571,0,0.23,0.93,0.976,"under","OK",0.0193,0.8944,"OK",1.016,0.556,"OK","Report with Caveats"
"EPFU","Converged cleanly",55,875,4.3274,0.0749,0.0252,0.0255,0.1244,0.003,0.34,0.4355,0.272,"under","OK",0.0346,0.2453,"OK",0.993,0.92,"OK","Report with Caveats"
"EUMA","Converged cleanly",12,262,4.9819,0.1231,0.0778,-0.0294,0.2756,0.1136,0.63,0.6339,0.748,"under","OK",0.0487,0.5628,"OK",0.978,0.684,"OK","Report with Caveats"
"LABO","Converged cleanly",22,362,1.7623,-0.0306,0.0257,-0.081,0.0198,0.2344,0.84,0.9848,0.824,"under","OK",0.0434,0.5014,"OK",1.114,0.44,"OK","Report with Caveats"
"LACI","Converged cleanly",60,1055,1.433,0.0768,0.0998,-0.1187,0.2724,0.4412,1.3,0.5392,0.04,"under","Mild underdispersion (significant, stat 0.5-1)",0.0394,0.0751,"OK",1.083,0.156,"OK","Interpret Direction Only"
"LANO","Converged cleanly",57,899,1.4344,0.0406,0.0217,-0.002,0.0832,0.062,0.54,1.2458,0.376,"over","OK",0.0401,0.1108,"OK",1.33,0,"Zero-inflation detected","Interpret Direction Only"
"MYCA","Converged cleanly",54,856,2.3457,0.0093,0.0194,-0.0287,0.0473,0.6318,2.09,0.8141,0.8,"under","OK",0.0524,0.0183,"Distributional fit marginal (KS p 0.001-0.05)",0.998,1,"OK","Interpret Direction Only"
"MYCI","Converged cleanly",15,321,1.7094,-0.0051,0.026,-0.0561,0.0459,0.8452,5.12,0.2735,0.124,"under","OK",0.0312,0.9129,"OK",0.992,1,"OK","Do Not Report"
"MYEV","Converged cleanly",58,920,1.128,0.0864,0.0218,0.0436,0.1291,1e-04,0.25,0.6548,0.624,"under","OK",0.0322,0.2959,"OK",0.998,1,"OK","Report with Caveats"
"MYLU","Converged cleanly",58,920,1.5974,0.0122,0.0201,-0.0272,0.0517,0.5437,1.65,0.5511,0.064,"under","OK",0.0336,0.2488,"OK",0.993,1,"OK","Interpret Direction Only"
"MYSE","Converged cleanly",18,388,2.3829,-0.0448,0.0383,-0.12,0.0303,0.2422,0.86,0.7083,0.756,"under","OK",0.0294,0.8915,"OK",0.99,0.804,"OK","Report with Caveats"
"MYTH","Converged cleanly",28,642,2.3497,-0.0017,0.027,-0.0547,0.0512,0.9483,15.43,0.828,0.836,"under","OK",0.0221,0.9132,"OK",1.004,0.928,"OK","Do Not Report"
"MYVO","Converged cleanly",55,875,1.4713,-0.0016,0.0196,-0.0401,0.0369,0.9349,12.24,1.3176,0.36,"over","OK",0.0385,0.1496,"OK",0.841,0.052,"OK","Do Not Report"
"MYYU","Converged cleanly",52,958,6.1142,0.0793,0.0249,0.0305,0.1281,0.0014,0.31,2.0602,0.132,"over","OK",0.0345,0.204,"OK",0.934,0.1,"OK","Report"
